

Category,Transaction_Id
Lunettes de soleil,1
Lunettes de vue,2
Lunettes de soleil pour femme,3
Lunettes de vue pour homme,4
Lunettes de soleil polarisées,5
Lunettes de vue anti-reflets,6
Lunettes de soleil pour enfants,7
Lunettes de vue pour enfants,8
Lunettes de soleil de marque,9
Lunettes de vue de marque,10

Lunettes de soleil de forme ronde,11
Lunettes de soleil de forme carrée,12
Lunettes de soleil de forme ovale,13
Lunettes de soleil de forme papillon,14
Lunettes de soleil de forme aviateur,15

Lunettes de vue pour myopie,16
Lunettes de vue pour hypermétropie,17
Lunettes de vue pour presbytie,18
Lunettes de vue pour astigmatisme,19
Lunettes de vue pour vue de loin,20

Lunettes de soleil pour le sport,21
Lunettes de soleil pour la conduite,22
Lunettes de soleil pour la lecture,23
Lunettes de soleil pour la plage,24
Lunettes de soleil pour la randonnée,25

Lunettes de vue avec verres teintés,26
Lunettes de vue avec verres progressifs,27
Lunettes de vue avec verres photochromiques,28
Lunettes de vue avec verres anti-reflets,29
Lunettes de vue avec verres polarisés,30

Lunettes de soleil de marque Ray-Ban,31
Lunettes de soleil de marque Oakley,32
Lunettes de soleil de marque Prada,33
Lunettes de soleil de marque Dior,34
Lunettes de soleil de marque Gucci,35

Lunettes de vue de marque Ray-Ban,36
Lunettes de vue de marque Oakley,37
Lunettes de vue de marque Prada,38
Lunettes de vue de marque Dior,39
Lunettes de vue de marque Gucci,40

Lunettes de vue avec verres progressifs pour hommes,41
Lunettes de vue avec verres progressifs pour femmes,42
Lunettes de vue avec verres photochromiques pour hommes,43
Lunettes de vue avec verres photochromiques pour femmes,44
Lunettes de vue avec verres anti-reflets pour hommes,45
Lunettes de vue avec verres anti-reflets pour femmes,46
Lunettes de vue avec verres polarisés pour hommes,47
Lunettes de vue avec verres polarisés pour femmes,48

Lunettes de soleil de marque Dior pour homme,49
Lunettes de soleil de marque Dior pour femme,50
Lunettes de soleil de marque Gucci pour homme,51
Lunettes de soleil de marque Gucci pour femme,52
Lunettes de soleil de marque Prada pour homme,53
Lunettes de soleil de marque Prada pour femme,54
Lunettes de soleil de marque Ray-Ban pour homme,55
Lunettes de soleil de marque Ray-Ban pour femme,56

Lunettes de vue de marque Ray-Ban avec verres teintés,57
Lunettes de vue de marque Ray-Ban avec verres progressifs,58
Lunettes de vue de marque Ray-Ban avec verres photochromiques,59
Lunettes de vue de marque Ray-Ban avec verres anti-reflets,60
Lunettes de vue de marque Ray-Ban avec verres polarisés,61

Lunettes de soleil de marque Oakley pour homme,62
Lunettes de soleil de marque Oakley pour femme,63
Lunettes de vue de marque Oakley avec verres teintés,64
Lunettes de vue de marque Oakley avec verres progressifs,65
Lunettes de vue de marque Oakley avec verres photochromiques,66
Lunettes de vue de marque Oakley avec verres anti-reflets,67
Lunettes de vue de marque Oakley avec verres polarisés,68
Lunettes de soleil pour le sport de marque Ray-Ban,69
Lunettes de soleil pour le sport de marque Oakley,70
Lunettes de soleil pour la conduite de marque Ray-Ban,71
Lunettes de soleil pour la conduite de marque Oakley,72
Lunettes de soleil pour la lecture de marque Ray-Ban,73
Lunettes de soleil pour la lecture de marque Oakley,74
Lunettes de soleil pour la plage de marque Ray-Ban,75
Lunettes de soleil pour la plage de marque Oakley,76

Lunettes de vue avec verres teintés pour hommes,77
Lunettes de vue avec verres teintés pour femmes,78
Lunettes de vue avec verres progressifs pour hommes de marque Ray-Ban,79
Lunettes de vue avec verres progressifs pour femmes de marque Ray-Ban,80
Lunettes de vue avec verres photochromiques pour hommes de marque Ray-Ban,81
Lunettes de vue avec verres photochromiques pour femmes de marque Ray-Ban,82
Lunettes de vue avec verres anti-reflets pour hommes de marque Ray-Ban,83
Lunettes de vue avec verres anti-reflets pour femmes de marque Ray-Ban,84

Lunettes de soleil de marque Ray-Ban avec verres teintés pour homme,85
Lunettes de soleil de marque Ray-Ban avec verres teintés pour femme,86
Lunettes de soleil de marque Ray-Ban avec verres progressifs pour homme,87
Lunettes de soleil de marque Ray-Ban avec verres progressifs pour femme,88
Lunettes de soleil de marque Ray-Ban avec verres photochromiques pour homme,89
